id|name|type|population2025|population2035|lat|lng|departmentId|departmentName
05467|Montebello|municipio|7062|7413|5.916853903|-75.51972693|05|Antioquia
05475|Murindó|municipio|5332|5558|6.828773855|-76.70861349|05|Antioquia
05480|Mutatá|municipio|15148|15836|7.329557848|-76.4630657|05|Antioquia
05483|Nariño|municipio|10889|11441|5.581275312|-75.19457019|05|Antioquia
05490|Necoclí|municipio|45834|48065|8.493728551|-76.67699588|05|Antioquia
05495|Nechí|municipio|28100|29411|7.983477394|-74.65844186|05|Antioquia
05501|Olaya|municipio|3350|3499|6.611418083|-75.77567097|05|Antioquia
05541|Peñol|municipio|22736|23848|6.232396368|-75.22350906|05|Antioquia
05543|Peque|municipio|8717|9117|7.044180058|-75.88968843|05|Antioquia
05576|Pueblorrico|municipio|9280|9734|5.80970186|-75.86076667|05|Antioquia
05579|Puerto Berrío|municipio|42468|44499|6.481922267|-74.5287421|05|Antioquia
05585|Puerto Nare|municipio|15350|16101|6.126539139|-74.70317722|05|Antioquia
05591|Puerto Triunfo|municipio|19688|20592|5.954830151|-74.6861918|05|Antioquia
05604|Remedios|municipio|30723|32180|6.997267375|-74.55865652|05|Antioquia
05607|Retiro|municipio|25589|26817|6.053444254|-75.51573805|05|Antioquia
05615|Rionegro|municipio|147907|155044|6.150785807|-75.41076052|05|Antioquia
05628|Sabanalarga|municipio|9731|10189|6.901000506|-75.79222754|05|Antioquia
05631|Sabaneta|municipio|90253|94223|6.138305183|-75.60880599|05|Antioquia
05642|Salgar|municipio|19448|20388|5.970502334|-75.98137251|05|Antioquia
05647|San Andrés de Cuerquía|municipio|7697|8098|6.918427233|-75.6657758|05|Antioquia
05649|San Carlos|municipio|17103|17906|6.193789659|-74.90732769|05|Antioquia
05652|San Francisco|municipio|6048|6361|5.840093731|-74.98176334|05|Antioquia
05656|San Jerónimo|municipio|16609|17391|6.438300409|-75.70310727|05|Antioquia
05658|San José de La Montaña|municipio|3941|4113|6.823258913|-75.67770826|05|Antioquia
05659|San Juan de Urabá|municipio|21853|22892|8.707141583|-76.53248234|05|Antioquia
05660|San Luis|municipio|13893|14580|6.024205956|-75.0076674|05|Antioquia
05664|San Pedro de Los Milagros|municipio|23751|24859|6.458666308|-75.5624839|05|Antioquia
05665|San Pedro de Urabá|municipio|33393|34985|8.37915695|-76.31664233|05|Antioquia
05667|San Rafael|municipio|16753|17562|6.31074453|-74.99858652|05|Antioquia
05670|San Roque|municipio|23105|24243|6.466165211|-74.9450732|05|Antioquia
05674|San Vicente Ferrer|municipio|23714|24882|6.310387522|-75.32740163|05|Antioquia
05679|Santa Bárbara|municipio|28051|29040|5.878984956|-75.58330371|05|Antioquia
05686|Santa Rosa de Osos|municipio|39340|41272|6.675827825|-75.43814333|05|Antioquia
05690|Santo Domingo|municipio|13163|13799|6.481044132|-75.14260097|05|Antioquia
05697|El Santuario|municipio|38386|40287|6.124209495|-75.25212278|05|Antioquia
05736|Segovia|municipio|41222|43211|7.26692339|-74.62163926|05|Antioquia
05756|Sonsón|municipio|38784|40668|5.826388779|-74.83637623|05|Antioquia
05761|Sopetrán|municipio|16200|16991|6.520164552|-75.74580903|05|Antioquia
05789|Támesis|municipio|17270|18138|5.673758571|-75.70979974|05|Antioquia
05790|Tarazá|municipio|29306|30663|7.488875998|-75.40189438|05|Antioquia
05792|Tarso|municipio|6593|6927|5.871064557|-75.82871144|05|Antioquia
05809|Titiribí|municipio|11457|12008|6.058349971|-75.79966005|05|Antioquia
05819|Toledo|municipio|5296|5549|7.016397069|-75.71363382|05|Antioquia
05837|Turbo|municipio|135464|142117|8.173851745|-76.5740377|05|Antioquia
05842|Uramita|municipio|7329|7671|6.913916924|-76.13318514|05|Antioquia
05847|Urrao|municipio|32366|33942|6.33534134|-76.25906482|05|Antioquia
05854|Valdivia|municipio|14823|15558|7.265404213|-75.40094502|05|Antioquia
05856|Valparaíso|municipio|6966|7311|5.651937802|-75.63083412|05|Antioquia
05858|Vegachí|municipio|12644|13270|6.836535122|-74.7540302|05|Antioquia
05861|Venecia|municipio|12407|13003|5.956576355|-75.77722423|05|Antioquia
05873|Vigía del Fuerte|municipio|9827|10302|6.453351334|-76.69504802|05|Antioquia
05885|Yalí|municipio|8152|8546|6.716870679|-74.75565002|05|Antioquia
05887|Yarumal|municipio|44770|46940|6.9881309|-75.45439957|05|Antioquia
05890|Yolombó|municipio|24178|25364|6.64442786|-75.02990266|05|Antioquia
05893|Yondó|municipio|20870|21812|6.925159318|-74.15824041|05|Antioquia
05895|Zaragoza|municipio|26392|27678|7.474004006|-74.85848326|05|Antioquia
08001|Barranquilla|municipio|1342818|1381960|10.98152051|-74.82771544|08|Atlántico
08078|Baranoa|municipio|70200|72482|10.79329302|-74.92219491|08|Atlántico
08137|Campo de La Cruz|municipio|25218|25968|10.38405079|-74.88466039|08|Atlántico
08141|Candelaria|municipio|17839|18323|10.48902047|-74.87756627|08|Atlántico
