id|type|name|placeId|parentId|parentName|lat|lng
15135|municipio|Campohermoso|ChIJX2rYam-4ao4ROi3M_4KNf2A|15|Boyacá|5.031048|-73.103869
23090|municipio|Canalete|ChIJqTZXwO4aWo4RZkS9b6760B4|23|Córdoba|8.788160999999999|-76.240381
08141|municipio|Candelaria|ChIJGzReL2fj9Y4RMgg0NanGWag|08|Atlántico|10.459676|-74.8809689
76130|municipio|Candelaria|ChIJMxYZwqQOOo4R6ruw8QD8zIE|76|Valle del Cauca|3.4102306|-76.3492869
13160|municipio|Cantagallo|ChIJ_eZaTz7JQo4RYmes4bV4JXI|13|Bolívar|7.381529999999999|-73.91912099999999
05138|municipio|Cañasgordas|ChIJPftoKw6jRY4RDGkx1LDTvog|05|Antioquia|6.7509209|-76.02597879999999
25148|municipio|Caparrapí|ChIJR9k8xE7vQI4ReqUSLvQfdfQ|25|Cundinamarca|5.3456186|-74.49184439999999
68147|municipio|Capitanejo|ChIJiTD5ZR0KaY4RXOSi2A99M4s|68|Santander|6.529626899999999|-72.6969562
25151|municipio|Cáqueza|ChIJ228rlyK6P44RNF0CMAjHRfQ|25|Cundinamarca|4.4056369|-73.946686
05142|municipio|Caracolí|ChIJ8yRxqGruQ44Rokih9CRFdi4|05|Antioquia|6.408748999999999|-74.7576179
05145|municipio|Caramanta|ChIJRy4aIN4BR44RZrwdagPtBhc|05|Antioquia|5.548956|-75.64370699999999
68152|municipio|Carcasí|ChIJB4tXEw0GaY4RHIUcbb9AR_A|68|Santander|6.626642|-72.6267809
05147|municipio|Carepa|ChIJm40R5BEQUI4R1pqasEhSRU8|05|Antioquia|7.755354|-76.6554309
73148|municipio|Carmen de Apicalá|ChIJv8sQosjbPo4RaCwDJnGqras|73|Tolima|4.1496742|-74.7202896
25154|municipio|Carmen de Carupa|ChIJqYagNINIQI4RMKtG-tgtzOo|25|Cundinamarca|5.3488323|-73.9012766
27150|municipio|Carmen del Darién|ChIJn_F-_rq7T44R6g5A5tsKh-c|27|Chocó|7.159894599999999|-76.9695246
05150|municipio|Carolina|ChIJDfN1lUVmRI4RMj4B5-WlTVk|05|Antioquia|6.723754599999999|-75.2811105
13001|municipio|Cartagena de Indias|ChIJUROdrucl9o4RyiY_Ay45YbE|13|Bolívar|10.3932277|-75.4832311
18150|municipio|Cartagena del Chairá|ChIJKzFOUJLwI44RHnTEI_6HoFk|18|Caquetá|1.3338448|-74.84340259999999
76147|municipio|Cartago|ChIJ19-WFh1wOI4ROnFl4BeJWk4|76|Valle del Cauca|4.747221199999999|-75.91162890000001
97161|municipio|Carurú|ChIJf2LWllt7HI4REKEqCOaHLXM|97|Vaupés|1.0126327|-71.2965117
73152|municipio|Casabianca|ChIJi47marpPR44R7O8Q-5_huHg|73|Tolima|5.078568|-75.119717
